person_id,video_id,fps,calibration_frames_total,calibration_frames_valid,baseline_ear,baseline_mar,baseline_pitch,baseline_yaw,baseline_roll
1,face1,29.76,149,149,0.2847857599799089,6.640736173038611e-05,174.9869622437709,5.407036931037857,-4.595830961215254
11,face11,29.76,148,147,0.27004036573957024,0.03848875291453832,176.86412753446464,14.689489160247549,0.40402088838605243
12,face12,29.76,148,148,0.3322936844001882,3.7387551906221096e-05,-177.61328289109787,-28.10149783486962,1.4196141287831754
13,face13,29.76,149,149,0.341603731706864,0.00023341943917089416,-178.18580609397716,-24.016770486151,-1.728152575154617
14,face14,29.76,149,148,0.26509691340253094,0.00012134123369927317,-177.97451785498487,0.45106688635156605,-1.2431014964261884
15,face15,29.76,149,149,0.24704264056278702,0.00010059826379231784,-175.83796116268422,3.7264708168432468,-0.5838485643080681
2,face2,29.76,149,149,0.23596701450262392,0.014232608650251655,170.24416453270908,-19.605042051853065,2.4081498466399047
3,face3,29.76,149,148,0.3044826451749623,0.0001682717206371815,175.31323967511742,15.288114875457037,0.24150434227593787
4,face4,29.76,148,148,0.2809774092811632,3.1202005220743736e-05,168.27751124908093,-3.115816123245061,-1.0222721260625502
5,face5,29.76,149,149,0.2402884829463786,4.771390741116267e-05,176.85414523566158,9.601719403399732,-3.9042990266931286
6,face6,29.76,148,147,0.37049631561165686,0.00024388328324769862,-177.35952318167895,19.243704097545862,-6.64018451648187
7,face7,29.76,149,149,0.2696685416320447,0.0001849249204822842,173.44893982107914,-16.555046738875888,3.345249693490077
9,face9,29.76,149,149,0.273962335014703,0.0002641826970118002,169.08865551732887,-19.47430094447242,-0.8687702211296053



