feature,safe_mean,drowsy_mean,mean_diff(drowsy-safe),safe_median,drowsy_median,median_diff(drowsy-safe)
ear_ratio,0.9858164027003248,0.804915306779559,-0.18090109592076575,1.014935970705075,0.9213087485625732,-0.09362722214250174
ear_diff,-0.005933730974852249,-0.057189761440612163,-0.05125603046575991,0.0044791286293002,-0.02343899151226,-0.027918120141560202
mar_ratio,17.61138175422355,34.68385940270743,17.072477648483876,2.3505682209508008,2.3687745610637556,0.018206340112954855
mar_diff,-0.0013676789471225455,-0.00018847269221724554,0.0011792062549053,0.0001964175999973,0.0001495925522422,-4.682504775509999e-05
perclos_5s,0.1261715077632899,0.3103563891610615,0.18418488139777162,0.0805369127516778,0.2684563758389262,0.18791946308724838
perclos_10s,0.12833595732660638,0.3096009724132462,0.1812650150866398,0.0939597315436241,0.2953020134228188,0.20134228187919473
blink_rate_5s,0.42263956400058916,0.65634854624927,0.2337089822486808,0.4,0.6,0.19999999999999996
ear_std_5s,0.05693541279953557,0.08500057491890017,0.028065162119364606,0.05386743879657095,0.0868216674834766,0.032954228686905646
ear_velocity,-4.9011789960107394e-05,9.359153200414323e-06,5.837094316052171e-05,0.00020320490405240001,0.0002588658128709,5.566090881849997e-05
abs_delta_pitch,3.6332380687091317,3.7087566982367863,0.07551862952765465,2.303353066610967,2.6018265462581667,0.2984734796471997
abs_delta_yaw,17.843155507718013,17.329405276853038,-0.5137502308649751,9.841316255287111,11.415961355438071,1.5746451001509598
abs_delta_pitch_mean_5s,3.755870672211437,3.698337630225177,-0.05753304198626008,2.6653853886109733,2.8738787605426004,0.2084933719316271
abs_delta_yaw_mean_5s,17.866537090772344,17.247140356056946,-0.6193967347153979,14.4361213275788,14.843284903816128,0.4071635762373287
