feature,class,count,mean,median,std,min,max
ear_ratio,safe,13578,0.9858164027003248,1.014935970705075,0.2863605599195634,0.0333560084015705,3.120028267527182
ear_ratio,drowsy,56509,0.804915306779559,0.9213087485625732,0.37632632293909535,0.0176508189572123,1.7973977863128665
ear_diff,safe,13578,-0.005933730974852249,0.0044791286293002,0.08043900207197054,-0.3343145542153562,0.5724932087412675
ear_diff,drowsy,56509,-0.057189761440612163,-0.02343899151226,0.10659782941736537,-0.3608192402910648,0.2150330981356114
mar_ratio,safe,13578,17.61138175422355,2.3505682209508008,69.6559322360572,0.0,886.2996104140252
mar_ratio,drowsy,56509,34.68385940270743,2.3687745610637556,149.56032040243232,0.0,2307.4801470667417
mar_diff,safe,13578,-0.0013676789471225455,0.0001964175999973,0.010847714721933046,-0.0384887529145383,0.0444875838577229
mar_diff,drowsy,56509,-0.00018847269221724554,0.0001495925522422,0.01482254663692282,-0.0384887529145383,0.0988908394971661
perclos_5s,safe,13578,0.1261715077632899,0.0805369127516778,0.16540599708748022,0.0,1.0
perclos_5s,drowsy,56509,0.3103563891610615,0.2684563758389262,0.2162889730864567,0.0,1.0
perclos_10s,safe,13578,0.12833595732660638,0.0939597315436241,0.14890478398685816,0.0,1.0
perclos_10s,drowsy,56509,0.3096009724132462,0.2953020134228188,0.16932229343691182,0.0,1.0
blink_rate_5s,safe,13578,0.42263956400058916,0.4,0.3236794746349158,0.0,1.8
blink_rate_5s,drowsy,56509,0.65634854624927,0.6,0.37071362728712737,0.0,2.4
ear_std_5s,safe,13578,0.05693541279953557,0.05386743879657095,0.03302898181521015,0.0,0.1867726335120552
ear_std_5s,drowsy,56509,0.08500057491890017,0.0868216674834766,0.033833507889629695,0.0,0.1665509226604194
ear_velocity,safe,13578,-4.9011789960107394e-05,0.00020320490405240001,0.02369154131334876,-0.2476986385116762,0.1489967225528986
ear_velocity,drowsy,56509,9.359153200414323e-06,0.0002588658128709,0.03155871952450713,-0.3056304071813008,0.2773167081989735
abs_delta_pitch,safe,13578,3.6332380687091317,2.303353066610967,4.9122934395567714,0.0004797682871924,178.27570259650065
abs_delta_pitch,drowsy,56509,3.7087566982367863,2.6018265462581667,4.455612976004718,5.410060197164057e-05,179.4222322367234
abs_delta_yaw,safe,13578,17.843155507718013,9.841316255287111,18.325842168309226,0.0010069801811027,93.23262954597168
abs_delta_yaw,drowsy,56509,17.329405276853038,11.415961355438071,15.796716691396778,0.0003630619222008,92.57143935836076
abs_delta_pitch_mean_5s,safe,13578,3.755870672211437,2.6653853886109733,3.0045092897482917,0.1242708572153787,21.680324824119303
abs_delta_pitch_mean_5s,drowsy,56509,3.698337630225177,2.8738787605426004,2.8215510669848114,0.2039696526539671,14.339647922414864
abs_delta_yaw_mean_5s,safe,13578,17.866537090772344,14.4361213275788,13.775521899872833,0.2363980491652171,62.882744009780474
abs_delta_yaw_mean_5s,drowsy,56509,17.247140356056946,14.843284903816128,12.549571423936062,0.5381394291206852,65.3189978766474
