feature,coefficient,abs_coefficient
ear_mean_10s,-5.129220227744021,5.129220227744021
ear_mean_5s,2.3228739804413627,2.3228739804413627
baseline_ear,1.8633143488933668,1.8633143488933668
abs_delta_pitch_mean_10s,1.687419977602816,1.687419977602816
perclos_10s,-1.6452161574401245,1.6452161574401245
baseline_mar,1.1769891276472906,1.1769891276472906
baseline_roll,-1.0476746556648429,1.0476746556648429
baseline_pitch,0.9849057501138285,0.9849057501138285
yaw_mean_10s,-0.9690431938715698,0.9690431938715698
perclos_5s,0.8423020102057659,0.8423020102057659
ear_ratio,0.8036768803834953,0.8036768803834953
ear_diff,-0.7642246516260436,0.7642246516260436
ear_std_5s,0.6893375737955427,0.6893375737955427
pitch_mean_10s,0.6089195271399943,0.6089195271399943
mar_std_5s,0.598667525670003,0.598667525670003
roll_mean_5s,-0.49329268251967767,0.49329268251967767
roll_mean_10s,0.4808617994476732,0.4808617994476732
mar_mean_5s,-0.4771541785346183,0.4771541785346183
baseline_yaw,0.4111727311561596,0.4111727311561596
abs_delta_yaw_mean_10s,0.37212092862230073,0.37212092862230073
abs_delta_pitch_mean_5s,-0.3348725020592745,0.3348725020592745
mar,0.29472951933978475,0.29472951933978475
abs_delta_yaw_mean_5s,-0.2873299800469887,0.2873299800469887
blink_count_5s,0.2802658459669616,0.2802658459669616
blink_rate_5s,0.28026584596693305,0.28026584596693305
pitch_mean_5s,0.24768068961833165,0.24768068961833165
delta_yaw,-0.22685253446263495,0.22685253446263495
abs_delta_yaw_mean_1s,0.2103855810851268,0.2103855810851268
eye_closed,0.20046404837692533,0.20046404837692533
mar_ratio,-0.19371030167906392,0.19371030167906392
mar_diff,-0.18417218548120437,0.18417218548120437
ear_mean_1s,-0.16263987930300466,0.16263987930300466
delta_pitch,0.1405270205571928,0.1405270205571928
abs_delta_pitch,0.13412786912438646,0.13412786912438646
yaw_mean_1s,0.11565951535386004,0.11565951535386004
yaw_mean_5s,-0.11349840233931974,0.11349840233931974
mar_mean_10s,0.11266627880858714,0.11266627880858714
roll_mean_1s,0.1126392179397112,0.1126392179397112
abs_delta_yaw,0.0792878032887576,0.0792878032887576
ear_velocity,-0.07894818997447348,0.07894818997447348
blink_start,-0.06588392032474201,0.06588392032474201
roll,0.04672999655272512,0.04672999655272512
yaw,0.043839934325604624,0.043839934325604624
delta_roll,-0.04254067925003907,0.04254067925003907
pitch,0.041982368949789045,0.041982368949789045
ear,0.03507800251136946,0.03507800251136946
abs_delta_pitch_mean_1s,0.02567084791467301,0.02567084791467301
mar_mean_1s,-0.02553466249532189,0.02553466249532189
pitch_velocity,-0.019889514225162087,0.019889514225162087
yaw_velocity,-0.008862677870411118,0.008862677870411118
pitch_mean_1s,-0.004180597007945633,0.004180597007945633
